Valor final investido,Resultado percentual final,Maior resultado operacao fechada,Menor resultado percentual de operação fechada,Quantidade de operações positivas,Percentual de operações positivas,Quantidade de operações negativas,Percentual de operações negativas,Media resultados comprados,Media resultados venda,Número abertura de compra,Número abertura de venda,Número fechamento de compra,Número fechamento de venda,Total de operações abertas,Total de operações finalizadas,Maior rebaixamento ma conta durante operacoes,Maior valor alcançado na conta durante operacoes,periodos_rsi,rsi_base,rsi_teto
1097.3377234012303,9.498138455879914,1.4185666062681865,-2.727278842495819,57.0,78.08219178082192,16.0,21.91780821917808,0.4020251300175631,-0.029490001186832513,27.0,46.0,27.0,46.0,73.0,73.0,998.2165261592495,1191.8177480018333,14,15,80
1080.650377511846,7.9597504420069605,1.4185666062681865,-2.727278842495819,52.0,76.47058823529412,16.0,23.52941176470588,0.40419121969242056,-0.07203445096800966,27.0,41.0,27.0,41.0,68.0,68.0,998.2165261592495,1178.56763999513,14,15,81
1088.6411854455293,8.68740648306606,1.4185666062681865,-2.727278842495819,51.0,76.11940298507463,16.0,23.88059701492537,0.41220167051397305,-0.06105096552028035,27.0,40.0,27.0,40.0,67.0,67.0,998.2165261592495,1186.030662394238,14,15,82
1114.8230715644743,11.045577699090513,1.4185666062681865,-2.727278842495819,52.0,78.78787878787878,14.0,21.21212121212121,0.4295971901074305,-0.014193498302823428,27.0,39.0,27.0,39.0,66.0,66.0,998.2165261592495,1203.912988040459,14,15,83
1133.6033294974309,12.70244294593246,1.4185666062681865,-2.727278842495819,51.0,79.6875,13.0,20.3125,0.47419001101667924,-0.0027212797707535943,27.0,37.0,27.0,37.0,64.0,64.0,998.2165261592495,1202.3571194203878,14,15,84
1125.0379275598352,11.75472725141389,1.4185666062681865,-2.436670178594262,63.0,80.76923076923077,15.0,19.230769230769234,0.39688265793189237,-0.011673088180314409,32.0,47.0,31.0,47.0,79.0,78.0,998.2165261592495,1191.8177480018333,14,16,80
1109.6296829389203,10.37040529002136,1.4185666062681865,-2.436670178594262,58.0,79.45205479452055,15.0,20.54794520547945,0.40373912482549146,-0.05108351379925898,32.0,42.0,31.0,42.0,74.0,73.0,998.2165261592495,1178.56763999513,14,16,81
1116.7932890458098,11.005375268591301,1.4185666062681865,-2.436670178594262,56.0,78.87323943661971,15.0,21.12676056338028,0.4198154977324369,-0.050222629027856236,32.0,40.0,31.0,40.0,72.0,71.0,998.2165261592495,1186.030662394238,14,16,82
1143.6522349529794,13.363546484615751,1.4185666062681865,-2.436670178594262,57.0,81.42857142857143,13.0,18.571428571428573,0.4349664341525451,-0.0030875121567474103,32.0,39.0,31.0,39.0,71.0,70.0,998.2165261592495,1203.912988040459,14,16,83
1162.9181476398053,15.021132960470123,1.4185666062681865,-2.436670178594262,56.0,82.35294117647058,12.0,17.647058823529413,0.47381641950978,0.008995242045052376,32.0,37.0,31.0,37.0,69.0,68.0,998.2165261592495,1202.3571194203878,14,16,84
1142.7547032884931,13.317470563670645,1.4185666062681865,-2.436670178594262,67.0,80.72289156626506,16.0,19.27710843373494,0.37918509236339487,0.008677090271739104,35.0,49.0,34.0,49.0,84.0,83.0,998.2165261592495,1201.47471269827,14,17,80
1123.3634424821341,11.600000311807793,1.4185666062681865,-2.436670178594262,61.0,79.22077922077922,16.0,20.77922077922078,0.3848932365612554,-0.034566737936625284,35.0,43.0,34.0,43.0,78.0,77.0,998.2165261592495,1182.7810012041627,14,17,81
1130.6157117216426,12.234071531949347,1.4185666062681865,-2.436670178594262,59.0,78.66666666666666,16.0,21.333333333333336,0.3995511059764116,-0.03294307490850351,35.0,41.0,34.0,41.0,76.0,75.0,998.2165261592495,1190.2707037937093,14,17,82
1155.3184303786397,14.375613527261251,1.4185666062681865,-2.436670178594262,59.0,80.82191780821918,14.0,19.17808219178082,0.41336519506533365,0.008235817821536017,35.0,39.0,34.0,39.0,74.0,73.0,998.2165261592495,1205.6199472465119,14,17,83
1177.8888831047736,16.298534906880256,1.4185666062681865,-2.436670178594262,58.0,81.69014084507043,13.0,18.30985915492958,0.45659120829589,0.020930643914053783,35.0,37.0,34.0,37.0,72.0,71.0,998.2165261592495,1210.1598886543761,14,17,84
1147.5736041713305,13.72799189721988,1.4185666062681865,-2.2189029967737572,72.0,79.12087912087912,19.0,20.87912087912088,0.3434855590207207,0.012746050083631937,39.0,53.0,38.0,53.0,92.0,91.0,998.2165261592495,1215.2353618771547,14,18,80
1119.503682109949,11.24147379870099,1.4185666062681865,-2.1837532604070216,65.0,78.3132530120482,18.0,21.686746987951807,0.3375140640069906,-0.027098838468644887,38.0,46.0,37.0,46.0,84.0,83.0,993.3810637773826,1182.2575110990276,14,18,81
