hora_abertura,preco_de_abertura,preco_de_fechamento,hora_fechou,kind,quantity,diferenca_percentual
2023-11-04 03:00:00+00:00,34680.38671875,,,Buy,1,
2023-11-04 03:00:00+00:00,34680.38671875,34960.5234375,2023-11-04 06:05:00+00:00,Close Buy,1,0.8077669981648263
2023-11-04 21:25:00+00:00,34881.3828125,,,Sell,1,
2023-11-04 21:25:00+00:00,34881.3828125,35093.3828125,2023-11-05 06:40:00+00:00,Close Sell,1,-0.6041024917224201
2023-11-05 06:40:00+00:00,35093.3828125,,,Buy,1,
2023-11-05 06:40:00+00:00,35093.3828125,35241.2421875,2023-11-05 17:10:00+00:00,Close Buy,1,0.42133121161330045
2023-11-05 17:10:00+00:00,35241.2421875,,,Sell,1,
2023-11-05 17:10:00+00:00,35241.2421875,35103.25,2023-11-05 17:30:00+00:00,Close Sell,1,0.3931037368334841
2023-11-05 21:30:00+00:00,34873.3125,,,Buy,1,
2023-11-05 21:30:00+00:00,34873.3125,35269.11328125,2023-11-05 23:00:00+00:00,Close Buy,1,1.1349675521933857
2023-11-05 23:00:00+00:00,35269.11328125,,,Sell,1,
2023-11-05 23:00:00+00:00,35269.11328125,35145.0703125,2023-11-05 23:25:00+00:00,Close Sell,1,0.3529455700246012
2023-11-06 00:10:00+00:00,34955.9609375,,,Buy,1,
2023-11-06 00:10:00+00:00,34955.9609375,35135.07421875,2023-11-06 01:05:00+00:00,Close Buy,1,0.5123969601929929
2023-11-06 10:35:00+00:00,35282.58984375,,,Sell,1,
2023-11-06 10:35:00+00:00,35282.58984375,35154.96484375,2023-11-06 11:05:00+00:00,Close Sell,1,0.363035493186362
2023-11-07 18:05:00+00:00,35184.66015625,,,Sell,1,
2023-11-07 18:05:00+00:00,35184.66015625,35413.78125,2023-11-07 22:00:00+00:00,Close Sell,1,-0.6469828571327723
2023-11-07 22:00:00+00:00,35413.78125,,,Buy,1,
2023-11-07 22:00:00+00:00,35413.78125,35549.30859375,2023-11-08 18:45:00+00:00,Close Buy,1,0.3826966196951928
2023-11-08 18:45:00+00:00,35549.30859375,,,Sell,1,
2023-11-08 18:45:00+00:00,35549.30859375,35437.5,2023-11-08 21:40:00+00:00,Close Sell,1,0.31550925925925927
2023-11-09 14:20:00+00:00,37652.39453125,,,Sell,1,
2023-11-09 14:20:00+00:00,37652.39453125,37492.3515625,2023-11-09 14:25:00+00:00,Close Sell,1,0.42686831334974357
2023-11-09 14:50:00+00:00,37926.2578125,,,Sell,1,
2023-11-09 14:50:00+00:00,37926.2578125,37786.99609375,2023-11-09 15:00:00+00:00,Close Sell,1,0.36854403140299896
2023-11-09 16:05:00+00:00,36858.359375,,,Buy,1,
2023-11-09 16:05:00+00:00,36858.359375,36895.1015625,2023-11-10 03:10:00+00:00,Close Buy,1,0.09968481539338726
2023-11-10 03:10:00+00:00,36895.1015625,,,Sell,1,
2023-11-10 03:10:00+00:00,36895.1015625,36732.51171875,2023-11-10 03:30:00+00:00,Close Sell,1,0.4426319795251205
2023-11-10 20:20:00+00:00,37145.11328125,,,Buy,1,
2023-11-10 20:20:00+00:00,37145.11328125,37336.12109375,2023-11-10 21:10:00+00:00,Close Buy,1,0.5142205680024574
2023-11-11 01:35:00+00:00,37145.1953125,,,Buy,1,
2023-11-11 01:35:00+00:00,37145.1953125,37126.6953125,2023-11-11 05:35:00+00:00,Close Buy,1,-0.04980455707490769
2023-11-11 05:35:00+00:00,37126.6953125,,,Sell,1,
2023-11-11 05:35:00+00:00,37126.6953125,37000.69921875,2023-11-11 07:45:00+00:00,Close Sell,1,0.34052354796082296
2023-11-11 15:55:00+00:00,37095.20703125,,,Buy,1,
2023-11-11 15:55:00+00:00,37095.20703125,37384.82421875,2023-11-13 01:15:00+00:00,Close Buy,1,0.7807401836469565
2023-11-13 03:35:00+00:00,37003.1796875,,,Buy,1,
2023-11-13 03:35:00+00:00,37003.1796875,37047.98828125,2023-11-13 07:35:00+00:00,Close Buy,1,0.12109390092532166
2023-11-13 07:35:00+00:00,37047.98828125,,,Sell,1,
2023-11-13 07:35:00+00:00,37047.98828125,36900.80859375,2023-11-13 11:10:00+00:00,Close Sell,1,0.3988522016423463
2023-11-13 11:50:00+00:00,36781.14453125,,,Buy,1,
2023-11-13 11:50:00+00:00,36781.14453125,36997.7578125,2023-11-13 16:25:00+00:00,Close Buy,1,0.5889247983187718
2023-11-13 17:50:00+00:00,36655.9609375,,,Buy,1,
2023-11-13 17:50:00+00:00,36655.9609375,36853.73046875,2023-11-13 19:55:00+00:00,Close Buy,1,0.5395289775303003
2023-11-13 20:00:00+00:00,36862.50390625,,,Sell,1,
2023-11-13 20:00:00+00:00,36862.50390625,36750.60546875,2023-11-13 21:00:00+00:00,Close Sell,1,0.3044805277974268
2023-11-13 21:15:00+00:00,36528.5703125,,,Buy,1,
2023-11-13 21:15:00+00:00,36528.5703125,36598.58984375,2023-11-14 05:35:00+00:00,Close Buy,1,0.19168429164072556
2023-11-14 05:35:00+00:00,36598.58984375,,,Sell,1,
2023-11-14 05:35:00+00:00,36598.58984375,36441.46875,2023-11-14 10:00:00+00:00,Close Sell,1,0.4311601566553214
2023-11-14 10:00:00+00:00,36441.46875,,,Buy,1,
2023-11-14 10:00:00+00:00,36441.46875,36647.72265625,2023-11-14 13:30:00+00:00,Close Buy,1,0.565986809326943
2023-11-14 15:30:00+00:00,36003.72265625,,,Buy,1,
2023-11-14 15:30:00+00:00,36003.72265625,36220.55078125,2023-11-14 15:45:00+00:00,Close Buy,1,0.6022380715188631
2023-11-14 18:40:00+00:00,35701.34765625,,,Buy,1,
2023-11-14 18:40:00+00:00,35701.34765625,35609.95703125,2023-11-14 22:00:00+00:00,Close Buy,1,-0.2559864851040178
2023-11-14 22:00:00+00:00,35609.95703125,,,Sell,1,
2023-11-14 22:00:00+00:00,35609.95703125,35499.265625,2023-11-14 22:20:00+00:00,Close Sell,1,0.3118132285306958
2023-11-14 23:30:00+00:00,35650.328125,,,Sell,1,
2023-11-14 23:30:00+00:00,35650.328125,35534.1171875,2023-11-14 23:55:00+00:00,Close Sell,1,0.32704045210072097
2023-11-15 02:20:00+00:00,35421.0390625,,,Buy,1,
2023-11-15 02:20:00+00:00,35421.0390625,35586.61328125,2023-11-15 05:00:00+00:00,Close Buy,1,0.4674459675162162
2023-11-15 05:00:00+00:00,35586.61328125,,,Sell,1,
2023-11-15 05:00:00+00:00,35586.61328125,37265.5546875,2023-11-16 08:25:00+00:00,Close Sell,1,-4.505343930418317
2023-11-16 08:25:00+00:00,37265.5546875,,,Buy,1,
